credit_score,annual_income,loan_amount,debt_to_income,employment_length,home_ownership,loan_purpose,interest_rate,open_accounts,delinquencies_2yr,loan_default
600,74312.73,7762.35,24.27,1,OWN,credit_card,16.36,11,1,0
509,54041.09,10882.79,43.15,2,OWN,home_improvement,18.6,10,0,1
701,39300.49,6437.82,46.82,0,OWN,credit_card,23.37,9,0,0
614,51734.55,7855.22,49.88,0,RENT,credit_card,7.29,6,2,1
646,36384.38,11286.09,36.72,14,MORTGAGE,debt_consolidation,24.27,12,0,0
631,44435.12,9474.36,36.54,20,RENT,debt_consolidation,8.22,12,0,0
668,181513.75,7854.53,4.69,1,MORTGAGE,major_purchase,23.65,18,0,0
765,53696.06,5379.13,37.58,7,MORTGAGE,credit_card,20.17,5,0,1
692,61397.38,52720.89,17.34,1,RENT,home_improvement,21.23,14,0,1
667,34449.84,9410.73,43.23,15,MORTGAGE,other,22.49,8,0,0
597,81636.91,16830.97,0.56,19,MORTGAGE,home_improvement,7.26,7,0,0
546,71692.13,3899.95,46.72,1,MORTGAGE,home_improvement,18.28,19,1,0
641,71946.37,34556.62,24.19,5,MORTGAGE,home_improvement,11.92,12,0,0
675,54581.25,15018.12,6.4,8,RENT,credit_card,12.61,10,0,1
821,82215.16,9791.68,30.05,0,MORTGAGE,credit_card,15.52,9,0,0
690,92581.31,9851.72,34.6,20,RENT,other,16.98,6,0,0
758,56474.78,24552.94,38.99,0,MORTGAGE,credit_card,19.05,10,0,0
640,46290.58,1690.59,35.09,6,MORTGAGE,debt_consolidation,17.21,9,0,1
585,76671.51,7503.05,27.67,12,MORTGAGE,debt_consolidation,9.54,13,0,0
602,31192.64,12291.23,4.1,4,RENT,debt_consolidation,12.24,9,0,0
621,34235.55,12192.45,43.14,22,RENT,home_improvement,22.23,9,1,1
850,47731.64,77166.32,49.17,6,RENT,other,19.28,7,1,1
614,20523.41,10547.93,38.9,1,RENT,home_improvement,14.2,11,1,1
747,74146.46,26719.77,1.74,19,OWN,home_improvement,9.75,8,1,0
607,30289.1,47484.57,37.78,0,RENT,major_purchase,21.64,6,0,1
754,38725.54,21363.3,13.48,0,MORTGAGE,credit_card,9.99,14,0,0
710,44062.32,8335.92,48.11,2,MORTGAGE,debt_consolidation,23.08,14,0,0
667,49993.26,5436.33,3.18,1,MORTGAGE,credit_card,13.8,7,1,1
676,41281.65,22511.78,4.61,0,MORTGAGE,other,18.25,13,1,0
627,47397.01,42256.68,9.07,2,MORTGAGE,credit_card,9.45,13,0,0
715,47580.88,19578.24,37.66,3,MORTGAGE,major_purchase,8.07,12,0,0
643,39202.06,31679.14,32.57,12,MORTGAGE,major_purchase,9.74,13,1,0
581,33303.0,81990.85,36.36,8,MORTGAGE,debt_consolidation,16.15,7,0,0
577,84182.05,24008.47,17.69,7,RENT,credit_card,18.76,16,0,1
693,20000.0,6182.99,43.98,7,MORTGAGE,credit_card,14.63,14,0,1
806,44229.29,13845.87,22.31,5,MORTGAGE,credit_card,20.75,10,0,0
692,38775.75,34861.93,6.71,1,RENT,debt_consolidation,8.03,12,0,0
670,60439.35,11224.5,38.37,3,RENT,credit_card,23.74,11,0,0
702,23691.07,38330.22,26.48,5,MORTGAGE,home_improvement,17.0,13,0,1
784,38181.54,12748.18,29.67,0,MORTGAGE,home_improvement,11.64,16,1,0
697,46575.04,16882.67,19.26,11,MORTGAGE,other,15.95,15,1,0
647,83703.56,10451.3,35.54,9,RENT,home_improvement,13.84,6,1,0
768,57877.99,14938.18,1.78,11,OWN,home_improvement,21.16,11,1,0
714,27126.22,15501.83,24.56,1,RENT,debt_consolidation,10.73,6,0,0
802,38417.24,4333.02,21.36,10,MORTGAGE,debt_consolidation,17.48,8,0,0
694,76345.6,9807.32,37.32,0,RENT,credit_card,19.61,6,0,0
582,26892.76,5635.01,13.29,10,RENT,home_improvement,24.45,11,0,0
570,47130.61,10046.95,11.69,12,MORTGAGE,debt_consolidation,6.81,13,0,1
812,48797.76,7657.08,15.99,4,MORTGAGE,major_purchase,17.43,8,0,0
817,40421.15,27126.73,24.03,6,MORTGAGE,credit_card,12.26,7,0,0
665,188692.86,27347.49,10.49,15,OWN,debt_consolidation,12.86,6,0,0
649,39880.16,19775.64,34.21,13,RENT,debt_consolidation,13.51,8,0,1
796,61382.65,5500.78,16.58,2,RENT,home_improvement,11.73,11,0,0
591,33417.98,12472.8,21.08,3,MORTGAGE,credit_card,15.58,13,0,0
608,63823.32,5202.87,27.88,6,RENT,debt_consolidation,9.88,6,0,1
731,75765.16,12050.9,18.84,11,MORTGAGE,credit_card,22.0,7,0,0
648,36534.71,21019.27,35.06,4,OWN,debt_consolidation,21.71,9,1,0
679,47698.21,26754.9,32.81,0,OWN,credit_card,6.87,10,1,0
666,31330.9,18601.39,37.84,1,RENT,other,6.51,8,0,0
707,27661.53,32238.93,26.15,0,MORTGAGE,debt_consolidation,13.35,9,0,0
792,82322.33,16023.79,18.37,8,MORTGAGE,credit_card,18.37,13,0,1
687,37160.42,11344.72,10.06,1,MORTGAGE,home_improvement,17.03,14,0,0
731,20000.0,24626.11,21.84,0,OWN,credit_card,9.14,10,0,0
515,118501.17,25198.34,43.65,6,RENT,debt_consolidation,16.02,9,0,1
676,32825.22,9256.49,6.05,1,RENT,credit_card,5.41,10,0,1
612,43339.23,17418.49,10.77,11,MORTGAGE,major_purchase,8.31,10,0,0
582,111352.18,10872.38,33.26,6,OWN,major_purchase,10.59,9,0,0
609,45666.9,3274.71,28.75,4,RENT,debt_consolidation,19.62,13,0,0
653,45176.47,18179.95,45.81,5,MORTGAGE,other,20.05,8,0,0
753,26526.87,5398.27,1.45,8,MORTGAGE,debt_consolidation,7.46,11,3,0
573,21646.16,16810.47,43.93,1,RENT,debt_consolidation,8.37,10,0,1
682,45107.64,4560.95,36.27,10,RENT,home_improvement,8.92,9,0,0
641,58771.06,8072.62,38.78,1,RENT,major_purchase,16.41,12,0,0
653,57111.61,9862.36,18.93,0,MORTGAGE,debt_consolidation,6.71,9,0,0
760,38536.82,30983.41,15.37,8,MORTGAGE,debt_consolidation,20.75,6,0,0
723,49519.85,9196.14,0.72,1,RENT,debt_consolidation,18.54,7,0,0
786,20000.0,6295.06,39.37,0,RENT,credit_card,19.23,7,1,0
667,61702.73,17240.93,8.08,0,RENT,credit_card,10.89,9,1,0
624,53140.94,11477.21,11.31,6,OWN,credit_card,16.02,7,0,1
662,131508.98,23234.47,13.83,0,MORTGAGE,debt_consolidation,11.11,13,0,0
699,49204.47,6579.3,43.48,3,RENT,debt_consolidation,13.63,13,0,1
694,30597.25,15484.55,14.4,5,MORTGAGE,home_improvement,6.78,14,0,1
593,47793.19,75259.45,21.28,11,RENT,debt_consolidation,8.92,7,0,0
687,41610.18,11299.4,37.37,2,MORTGAGE,debt_consolidation,6.65,9,0,1
698,60922.26,15225.26,44.61,22,MORTGAGE,debt_consolidation,17.39,15,0,0
850,49684.39,4176.68,39.56,2,MORTGAGE,credit_card,21.08,12,0,0
830,26108.77,7353.37,26.77,3,MORTGAGE,major_purchase,24.59,7,0,1
611,21636.31,18431.28,0.11,17,MORTGAGE,debt_consolidation,18.71,10,1,0
657,55907.52,10604.9,7.89,1,MORTGAGE,debt_consolidation,22.18,17,0,0
562,97885.85,20539.46,12.68,1,MORTGAGE,major_purchase,11.91,10,1,1
632,51004.74,17987.94,20.69,10,MORTGAGE,home_improvement,21.05,8,1,1
705,73618.28,5310.17,18.11,0,RENT,credit_card,9.53,10,0,0
776,81340.93,27192.99,25.72,4,MORTGAGE,debt_consolidation,16.09,6,0,0
621,56016.18,5597.75,20.6,1,MORTGAGE,credit_card,12.55,10,0,0
627,32622.39,7820.9,36.3,0,MORTGAGE,other,18.75,15,1,1
508,54049.42,15687.81,2.61,4,MORTGAGE,home_improvement,16.73,10,1,0
666,89638.16,40011.26,49.74,1,MORTGAGE,major_purchase,20.56,9,0,1
595,63891.73,6616.27,42.15,3,RENT,credit_card,9.62,2,0,0
637,71262.3,14814.76,16.75,2,MORTGAGE,debt_consolidation,22.87,11,0,0
609,38899.12,14901.46,19.84,2,MORTGAGE,debt_consolidation,11.28,11,0,0
672,44303.68,21166.01,48.19,20,RENT,home_improvement,6.36,10,1,0
539,46195.44,30602.02,46.79,6,RENT,credit_card,12.9,11,0,0
562,47778.5,10068.3,19.66,2,RENT,debt_consolidation,5.66,8,0,0
850,87902.12,27127.26,2.98,6,MORTGAGE,home_improvement,18.14,10,0,0
577,20000.0,33901.86,49.4,0,MORTGAGE,other,8.77,11,0,0
592,49775.05,46572.78,32.69,5,MORTGAGE,credit_card,19.8,9,0,0
826,47110.53,18983.9,34.65,6,OWN,debt_consolidation,23.18,11,1,0
850,24692.37,14916.24,13.73,7,MORTGAGE,credit_card,16.79,18,1,0
586,68588.74,9583.43,40.94,1,RENT,credit_card,18.29,9,0,1
650,34123.78,4811.24,27.87,2,MORTGAGE,credit_card,13.55,13,0,0
707,41006.41,10997.6,23.51,6,MORTGAGE,other,6.77,10,0,0
818,123548.73,14452.7,37.06,4,MORTGAGE,credit_card,13.61,10,0,0
601,81225.69,12374.03,18.59,14,RENT,debt_consolidation,13.2,9,1,0
660,65332.41,20300.54,21.47,11,MORTGAGE,other,12.72,8,1,0
742,59301.42,4827.47,32.62,0,MORTGAGE,home_improvement,17.49,9,0,0
714,45146.14,11761.87,31.98,1,MORTGAGE,debt_consolidation,15.25,9,0,1
649,133210.87,53978.37,48.56,3,MORTGAGE,debt_consolidation,23.19,3,0,0
669,73209.74,26820.43,28.14,5,RENT,credit_card,20.14,10,0,0
570,33699.05,20564.74,16.05,4,RENT,debt_consolidation,19.26,15,0,0
660,24341.76,17561.73,14.37,1,OWN,home_improvement,23.1,10,0,1
658,65083.02,10344.37,26.7,3,MORTGAGE,debt_consolidation,14.59,8,0,0
698,47670.38,3913.36,5.98,3,RENT,debt_consolidation,23.38,14,0,0
635,23993.32,18397.87,29.4,1,MORTGAGE,debt_consolidation,13.29,8,0,0
717,60736.07,2406.91,19.51,6,MORTGAGE,major_purchase,10.77,9,2,0
761,42851.09,10637.18,17.6,6,RENT,debt_consolidation,20.82,9,1,0
692,63916.48,13325.55,9.62,2,MORTGAGE,credit_card,21.02,11,0,0
708,61136.85,9768.97,24.77,6,MORTGAGE,major_purchase,13.22,11,0,1
684,36165.76,61081.73,1.88,4,MORTGAGE,debt_consolidation,17.68,7,0,0
680,67266.82,47908.1,30.36,2,MORTGAGE,other,22.33,14,0,0
622,38217.45,27528.26,14.28,29,MORTGAGE,home_improvement,5.57,8,0,0
705,39480.38,6990.25,45.25,10,RENT,debt_consolidation,20.29,9,1,0
672,37566.36,51276.65,26.32,5,MORTGAGE,other,11.97,9,0,0
847,86291.57,20604.78,39.03,7,MORTGAGE,major_purchase,23.61,19,0,0
805,42604.44,6909.24,42.56,0,RENT,debt_consolidation,7.78,8,0,0
710,97364.95,13669.22,43.95,4,RENT,major_purchase,17.88,10,0,0
618,119580.19,26134.26,43.53,1,RENT,credit_card,20.18,11,1,1
591,33882.04,8784.86,11.27,7,MORTGAGE,major_purchase,7.9,5,0,0
775,20000.0,14740.78,15.17,0,RENT,credit_card,22.5,8,0,0
701,82640.47,16672.79,35.4,4,OWN,home_improvement,13.1,13,0,0
718,41316.37,6182.03,26.88,9,MORTGAGE,major_purchase,5.61,11,0,1
540,31789.99,11058.28,30.47,8,MORTGAGE,home_improvement,18.14,9,1,1
754,36520.94,6517.04,33.89,4,MORTGAGE,debt_consolidation,5.09,7,0,0
716,39838.66,24540.19,5.71,9,MORTGAGE,home_improvement,23.75,8,0,0
591,93769.65,7075.27,8.42,1,OWN,major_purchase,15.25,10,0,0
642,53101.24,16387.31,31.89,1,MORTGAGE,other,22.55,14,1,0
701,93134.44,5048.72,31.27,0,MORTGAGE,home_improvement,18.36,14,0,0
684,62762.31,6042.63,40.87,6,OWN,debt_consolidation,23.76,4,0,0
656,41998.31,5841.15,34.69,6,RENT,major_purchase,15.84,11,1,0
671,40328.81,10908.5,10.38,6,MORTGAGE,debt_consolidation,11.51,10,0,1
659,64913.08,15157.75,3.5,3,MORTGAGE,home_improvement,6.61,11,0,0
692,73881.14,17245.88,19.55,2,MORTGAGE,credit_card,10.07,9,0,0
797,80692.13,3863.91,18.56,8,MORTGAGE,major_purchase,23.11,9,0,0
474,43011.84,11872.17,38.37,4,MORTGAGE,credit_card,24.67,10,0,1
661,53508.88,7899.85,33.57,2,RENT,credit_card,5.74,3,0,0
694,65645.23,19417.4,43.61,0,MORTGAGE,major_purchase,10.13,9,0,0
703,40457.91,11077.31,25.21,7,RENT,debt_consolidation,9.06,14,0,0
650,27792.74,12624.8,14.43,16,RENT,credit_card,15.31,11,0,0
539,32756.75,7931.01,25.21,8,MORTGAGE,major_purchase,14.17,5,1,0
706,43455.05,44678.76,10.78,3,RENT,debt_consolidation,24.63,10,0,0
818,68261.66,5439.78,3.03,1,RENT,debt_consolidation,12.08,5,0,0
557,91994.93,10098.94,24.98,2,RENT,major_purchase,16.86,8,0,1
749,24883.9,14404.83,20.68,9,MORTGAGE,major_purchase,20.91,10,0,1
653,36363.74,11204.24,1.61,1,MORTGAGE,debt_consolidation,5.3,7,0,0
675,40989.4,7826.3,36.06,21,MORTGAGE,credit_card,20.81,10,0,0
595,72937.52,3758.67,32.22,11,RENT,debt_consolidation,18.86,8,0,0
653,37644.6,8233.31,3.69,17,RENT,other,23.18,14,0,0
784,39542.6,6825.57,35.5,2,RENT,credit_card,24.28,18,0,0
726,24197.48,43280.49,4.14,1,MORTGAGE,debt_consolidation,16.33,12,0,0
818,62423.91,65204.72,25.88,6,MORTGAGE,major_purchase,19.68,10,0,0
774,45220.26,12893.08,31.11,0,OWN,home_improvement,24.73,10,1,1
715,35347.31,4997.39,24.95,16,MORTGAGE,home_improvement,21.87,5,0,0
819,43055.42,22395.85,37.37,1,RENT,credit_card,16.63,11,1,1
715,86120.07,6722.71,19.28,1,MORTGAGE,credit_card,7.93,11,0,0
746,29660.06,9095.91,10.65,1,MORTGAGE,debt_consolidation,12.43,11,0,1
656,32182.25,8602.48,24.32,2,MORTGAGE,credit_card,22.53,10,0,0
685,91686.11,9411.11,17.11,0,MORTGAGE,credit_card,6.67,11,0,1
624,50913.7,10422.22,7.56,10,OWN,credit_card,22.74,10,0,0
759,68519.73,5327.03,23.55,13,OWN,other,17.62,13,0,1
585,59926.61,8172.99,10.07,3,RENT,home_improvement,21.19,10,0,1
742,48162.34,27281.41,23.51,0,MORTGAGE,home_improvement,13.04,5,1,0
664,41185.87,13049.57,29.63,9,MORTGAGE,home_improvement,11.13,9,0,0
773,74293.52,14584.57,39.11,0,RENT,credit_card,24.39,11,0,0
740,87655.38,2800.14,42.66,0,MORTGAGE,credit_card,16.79,10,0,0
825,84296.38,25937.59,33.41,0,RENT,credit_card,18.71,3,0,0
738,27099.33,8267.9,44.68,15,RENT,debt_consolidation,23.54,13,1,0
554,94132.2,29342.08,27.89,5,RENT,credit_card,14.49,10,0,1
674,40987.91,14883.26,35.52,1,MORTGAGE,debt_consolidation,6.64,13,0,0
586,33606.85,9014.26,38.52,11,RENT,debt_consolidation,9.97,8,1,0
638,45041.35,4128.0,41.24,5,MORTGAGE,other,17.47,5,0,0
800,74277.56,61229.98,37.59,0,RENT,credit_card,20.26,15,1,0
731,64230.41,23441.73,45.12,0,OWN,debt_consolidation,15.12,14,0,0
624,43144.35,24444.29,23.64,5,MORTGAGE,credit_card,17.83,10,0,0
598,74520.75,47723.51,47.67,1,RENT,credit_card,18.63,11,0,0
682,52571.55,15628.65,20.01,1,MORTGAGE,other,5.84,10,1,0
582,36809.61,34429.88,3.51,2,MORTGAGE,debt_consolidation,14.51,12,0,0
626,34405.87,9556.7,9.11,0,RENT,major_purchase,22.54,7,0,0
704,60181.33,22388.55,27.91,1,MORTGAGE,debt_consolidation,6.19,11,1,0
772,47039.41,8594.97,0.73,1,RENT,debt_consolidation,18.49,14,0,0
728,24642.98,9389.04,7.87,2,RENT,debt_consolidation,16.03,3,1,1
496,74875.41,14298.36,18.7,0,MORTGAGE,debt_consolidation,19.39,13,0,0
704,38555.83,5501.75,31.21,2,RENT,major_purchase,22.83,10,1,0
685,108668.78,16824.59,8.28,1,MORTGAGE,debt_consolidation,22.77,10,1,0
713,24306.64,10738.91,28.74,4,RENT,credit_card,21.45,15,0,0
809,44785.77,3323.28,33.16,2,MORTGAGE,credit_card,13.65,11,0,0
